Manufacturer,Mark,price,Engine_capacity,Gearbox,Hurd,Type,Color,Year_of_manufacture,Year_of_entry,Engine,Interior_color,Leasing,Drive,Mileage,Conditions,Gate
BYD,Tang,220000000,1.5,Автомат,Зөв,Жийп,Хар,2023,2023,Цахилгаан,Бор,ББСБ лизингтэй,Урдаа FWD,9,Дугаар аваагүй,5
Toyota,Prius 20,25000000,1.5,Автомат,Буруу,Суудлын тэрэг,Сувдан цагаан,2008,2023,Хайбрид,Бусад,ББСБ лизингтэй,Урдаа FWD,28000,Дугаар аваагүй,5
Mitsubishi,Pajero,58000000,3.0,Автомат,Буруу,Жийп,Боронзон,2010,2023,Бензин,Бор,ББСБ лизингтэй,Бүх дугуй 4WD,100000,Дугаар авсан,5
Toyota,Estima,16500000,2.4,Автомат,Буруу,Гэр бүлийн,Цайвар цэнхэр,2007,2023,Хайбрид,Шаргал,ББСБ лизингтэй,Урдаа FWD,190000,Дугаар авсан,5
Nissan,Caravan,16000000,3.0,Автомат,Буруу,Гэр бүлийн,Цагаан,2010,2019,Дизель,Саарал,Лизинггүй,Бүх дугуй 4WD,220000,Дугаар авсан,4
Nissan,Serena,18000000,2.0,Автомат,Буруу,Гэр бүлийн,Хар,2012,2022,Бензин,Бусад,ББСБ лизингтэй,Урдаа FWD,14000000,Дугаар авсан,5
Lexus,RX,45000000,3.5,Автомат,Буруу,Суудлын тэрэг,Хар,2016,2023,Хайбрид,Хар,Банкны лизингтэй,Урдаа FWD,130000,Дугаар аваагүй,5
Nissan,Fuga,14000000,3.5,Автомат,Буруу,Суудлын тэрэг,Саарал,2012,2023,Хайбрид,Хар,Банкны лизингтэй,Хойноо RWD,150000,Дугаар аваагүй,4
Toyota,Harrier,39000000,2.4,Автомат,Буруу,Жийп,Шар,2007,2016,Бензин,Хар,Лизинггүй,Бүх дугуй 4WD,190000,Дугаар авсан,5
Toyota,"Prius 40, 41",31800000,1.8,Автомат,Буруу,Суудлын тэрэг,Хар,2014,2023,Хайбрид,Хар,Банкны лизингтэй,Урдаа FWD,160,Дугаар аваагүй,5
BMW,X5,300000000,3.5,Автомат,Зөв,Жийп,Хар,2012,2021,Дизель,Хар,ББСБ лизингтэй,Бүх дугуй 4WD,227000,Дугаар авсан,5
Mitsubishi,Delica,24000000,2.4,Автомат,Буруу,Суудлын тэрэг,Хар,2011,2023,Бензин,Хар,ББСБ лизингтэй,Бүх дугуй 4WD,199292,Дугаар аваагүй,5
Toyota,Crown,29000000,4.3,Автомат,Буруу,Суудлын тэрэг,Цэнхэр,2004,2013,Бензин,Хар,Лизинггүй,Хойноо RWD,280000,Дугаар авсан,4
Mercedes-Benz,B-Class,28000000,1.6,Автомат,Буруу,Суудлын тэрэг,Сувдан цагаан,2012,2022,Бензин,Хар,Лизинггүй,Урдаа FWD,110000,Дугаар авсан,5
Hyundai,Genesis,50000000,3.3,Автомат,Зөв,Суудлын тэрэг,Цэнхэр,2016,2020,Бензин,Цагаан шар,Лизинггүй,Урдаа FWD,60000,Дугаар авсан,4
Lexus,LX,320000000,4.7,Автомат,Зөв,Жийп,Хар,2001,2011,Бензин,Шаргал,Лизинггүй,Бүх дугуй 4WD,200000,Дугаар авсан,5
Toyota,RAV4,16000000,2.4,Автомат,Буруу,Жийп,Сувдан цагаан,2008,2018,Бензин,Хар,Лизинггүй,Бүх дугуй 4WD,136000,Дугаар авсан,5
Toyota,Harrier,63500000,2.4,Автомат,Буруу,Жийп,Саарал,2005,2013,Бензин,Шаргал,Лизинггүй,Урдаа FWD,1,Дугаар авсан,5
Toyota,Aqua,18000000,1.5,Автомат,Буруу,Суудлын тэрэг,Цагаан,2012,2022,Бензин,Хар,Лизинггүй,Урдаа FWD,300000,Дугаар авсан,5
Toyota,Crown,25500000,2.4,Автомат,Буруу,Суудлын тэрэг,Саарал,2013,2023,Хайбрид,Шаргал,Лизинггүй,Хойноо RWD,200144,Дугаар аваагүй,4
Lexus,IS,49000000,2.5,Автомат,Буруу,Суудлын тэрэг,Сувдан цагаан,2006,2013,Бензин,Цагаан шар,Лизинггүй,Хойноо RWD,120000,Дугаар авсан,5
Toyota,Crown,8500000,2.5,Автомат,Буруу,Суудлын тэрэг,Хар,2012,2021,Бензин,Саарал,Лизинггүй,Хойноо RWD,138000,Дугаар авсан,5
Toyota,Prius 30,24500000,1.8,Механик,Буруу,Суудлын тэрэг,Сувдан цагаан,2011,2020,Бензин,Цагаан шар,Лизинггүй,Урдаа FWD,160000,Дугаар авсан,4
Toyota,"Prius 40, 41",34000000,1.8,Автомат,Буруу,Суудлын тэрэг,Сувдан цагаан,2012,2021,Бензин,Саарал,Лизинггүй,Урдаа FWD,23000,Дугаар авсан,4
Ford,Ranger,136000000,3.2,Автомат,Зөв,Жийп,Саарал,2015,2021,Дизель,Саарал,Лизинггүй,Бүх дугуй 4WD,110000,Дугаар авсан,5
Toyota,Land Cruiser 100,58000000,4.7,Автомат,Буруу,Жийп,Сувдан цагаан,2002,2012,Бензин,Шаргал,Лизинггүй,Бүх дугуй 4WD,200000,Дугаар авсан,5
Subaru,WRX,38500000,2.0,Автомат,Буруу,Суудлын тэрэг,Хар саарал,2014,2023,Бензин,Бусад,Банкны лизингтэй,Бүх дугуй 4WD,191000,Дугаар аваагүй,4
Toyota,Vellfire,45000000,2.4,Автомат,Буруу,Гэр бүлийн,Бусад,2012,2022,Бензин,Хар,Лизинггүй,Урдаа FWD,142000,Дугаар авсан,5
Toyota,"Prius 40, 41",19900000,1.7,Автомат,Буруу,Суудлын тэрэг,Цагаан,2012,2022,Бензин,Хар,Лизинггүй,Урдаа FWD,37,Дугаар авсан,5
Subaru,Forester,34000000,2.0,Автомат,Буруу,Жийп,Сувдан цагаан,2013,2022,Бензин,Хар,ББСБ лизингтэй,Бүх дугуй 4WD,145000,Дугаар авсан,5
Toyota,Harrier,39000000,3.3,Автомат,Буруу,Жийп,Бусад,2006,2020,Хайбрид,Цагаан шар,Хувь лизингтэй,Бүх дугуй 4WD,150000,Дугаар авсан,5
Lexus,RX,59000000,3.0,Автомат,Зөв,Жийп,Хар,2018,2019,Бензин,Бор,Лизинггүй,Бүх дугуй 4WD,50000,Дугаар авсан,5
